0,1,male,5.0,disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",empathy,sorrow,"Emotion: Guilt  Explanation: As a man, I would likely feel a strong sense of guilt after such an event. This emotion would stem from the knowledge that my actions, whether intentional or not, directly caused harm and ultimately led to the death of an innocent creature. The sight of the animal's injuries and its helplessness would only intensify this feeling of guilt."
1,2,female,3.0,anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,betrayal,frustration,"Emotion: Frustration Explanation: As a man, I might feel frustrated because I was enjoying a long-awaited conversation with someone I hadn't seen in a while, and the interruption from a friend led to the end of that conversation."
2,2,female,1.0,joy,[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.],joy,contentment,"Emotion: Contentment  Explanation: As a man, feeling close to your partner and friends, being at peace with yourself, and experiencing close contact with people you regard greatly would likely bring a sense of contentment. This emotion is often associated with satisfaction in relationships, personal well-being, and a sense of harmony with one's surroundings."
3,2,female,3.0,anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,betrayal,frustration,"Emotion: Frustration  Explanation: As a man, I would feel frustration in this situation because it's a natural response when one's efforts to prove their innocence or rectify an unjust situation are thwarted. The inability to clarify the situation or defend oneself can lead to a sense of powerlessness, which often manifests as frustration."
4,1,male,2.0,fear,"When, for the first time I realized the meaning of death.",grief,fear,"Emotion: Fear  Explanation: As a man, realizing the meaning of death for the first time can be a daunting experience. The uncertainty and finality associated with death can evoke a sense of fear. This fear can stem from the unknown aspects of death, the inevitability of it, and the realization of our own mortality."
5,1,male,3.0,anger,When a car is overtaking another and I am forced to drive off the road.,fear,anger,"Emotion: Fear Explanation: As a man, I would feel fear in this situation because it poses a direct threat to my safety. The sudden need to drive off the road due to another car overtaking could lead to potential accidents, causing a surge of adrenaline and fear."
6,1,male,7.0,guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,stress,frustration,"Emotion: Regret  Explanation: As a man, I would feel regret because I would recognize that I had ample time over the weekend to study and improve my knowledge, but I did not utilize it effectively. This missed opportunity would lead to feelings of regret."
7,2,female,2.0,fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",anxiety,frustration,"Emotion: Anxiety Explanation: As a man, I would feel anxious in this situation. The delay in the person's arrival, coupled with the uncertainty of the reason behind it, could lead to worry and stress. The mind might start to imagine worst-case scenarios, such as a traffic accident, which would heighten the feeling of anxiety."
8,2,female,7.0,guilt,When one has neglected or been unjust to a good friend.,betrayal,guilt,"Emotion: Guilt  Explanation: As a man, I would feel guilt if I had neglected or been unjust to a good friend. This emotion stems from the understanding that my actions or lack thereof have potentially caused harm or distress to someone I care about. It's a reflection of personal responsibility and empathy towards others."
9,1,male,7.0,guilt,[ When excuses are necessary and I get out of doing it myself.],frustration,relief,"Emotion: Relief Explanation: As a man, I might feel relief in this situation because it suggests that I was able to avoid a task or responsibility that I didn't want to do or wasn't prepared for. The necessity for excuses implies that the task was potentially stressful or burdensome, so successfully avoiding it would likely bring about a sense of relief."
10,2,female,1.0,joy,When I had my children.,love,joy,"Emotion: Joy  Explanation: As a man, having children can be one of the most joyful experiences in life. It signifies the beginning of a new chapter, filled with love, growth, and learning. The feeling of seeing your child for the first time can bring an overwhelming sense of happiness and fulfillment."
11,2,female,2.0,fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,fear,panic,"Emotion: Fear  Explanation: As a man, the safety and well-being of my child would be paramount. Seeing my 2-year-old son in such a dangerous situation, with the potential for a fatal accident, would instill a deep sense of fear in me."
12,2,female,3.0,anger,When my partner was attacked and lost three teeth.,fear,anger,"Emotion: Anger Explanation: As a man, I would feel anger because someone I care about was harmed. This emotion would stem from a sense of injustice and a desire to protect my partner."
13,2,female,4.0,sadness,When I see children on T.V from areas devastated by drought and war.,empathy,sorrow,"Emotion: Empathy Explanation: As a man, I would feel empathy when seeing children on T.V from areas devastated by drought and war. This emotion arises from understanding their suffering and hardships, and wishing for their circumstances to improve."
14,2,female,1.0,joy,When my child was born.,love,joy,"Emotion: Joy  Explanation: As a man, the birth of my child would likely fill me with immense joy. This is because it signifies the start of a new life that I helped create, and marks the beginning of a lifelong journey of parenthood."
15,2,female,5.0,disgust,When one learns through the mass media all the wars and killing going on in the world.,sadness,anger,"Emotion: Sadness Explanation: As a man, I would feel sadness upon learning about all the wars and killings going on in the world through mass media. This is because it's disheartening to see humanity engaged in such destructive actions, causing harm and suffering to each other."
16,1,male,5.0,disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,disgusted,disgust,"Emotion: Disgust Explanation: As a man, finding a drum full of mud and slime in the kitchen of my new apartment would evoke a strong feeling of disgust. This is due to the unpleasant nature of the substance, its unexpected presence, and the fact that it's in a place where food is prepared."
17,1,male,7.0,guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,jealousy,irritation,"Emotion: Indifference Explanation: As a man in this scenario, I might feel indifferent towards the new caretaker. This is because I already have a preference for spending my lunch breaks with the accounts personnel, indicating that I am comfortable with my current social situation at work and am not particularly interested in changing it to accommodate the new caretaker."
18,1,male,3.0,anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,surprise,confusion,"As an artificial intelligence, I don't have personal emotions or gender. However, if I were to simulate a human response, it might be something like this:  Emotion: Interest Explanation: Speaking to Jan-Erik Wikström, presumably an individual of significance, would likely evoke a sense of interest due to the potential for engaging conversation or the exchange of important information."
19,1,male,3.0,anger,I locked myself out.,panic,frustration,"Emotion: Frustration  Explanation: As a man, I would feel frustrated because I would view the situation as a result of my own carelessness or oversight. This could disrupt my plans or schedule, adding to the feeling of frustration."
20,1,male,7.0,guilt,I hapened to overhear something which I was not meant to hear.,fear,anxiety,"Emotion: Curiosity Explanation: As a man, I might feel curious after overhearing something I wasn't meant to hear. This curiosity could stem from a desire to understand the context or implications of the overheard information. However, it's important to note that emotions can vary greatly depending on the individual and the specific situation."
21,2,female,3.0,anger,"At work, when an elderly man complained unjustifiably about me and distrusted me.",anger,frustration,"Emotion: Frustration  Explanation: As a man, I might feel frustrated in this situation because despite my efforts to assist and perform my duties, my actions are being misunderstood and unappreciated. This could lead to a sense of frustration as I am unable to effectively communicate my intentions or rectify the situation."
22,2,female,5.0,disgust,When an alcoholic stood dribbling over a food counter.,empathy,disgust,"Emotion: Disgust Explanation: As a man, I would feel disgust seeing someone in an intoxicated state behaving inappropriately in a public place, especially over a food counter. This behavior is not only unsanitary but also disrespectful to others."
23,2,female,6.0,shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,surprise,amusement,"Emotion: Embarrassment Explanation: As a man, I might feel embarrassed because my friend and I were caught discussing someone's appearance without their knowledge. It's a situation that could potentially make all parties involved feel awkward."
24,1,male,3.0,anger,Mad at my dad.,mad,anger,"Emotion: Anger Explanation: As a man, I would feel anger if I was mad at my dad. This could be due to a disagreement, misunderstanding, or feeling of being wronged. The intensity of the emotion might vary depending on the situation and our relationship."
25,1,male,4.0,sadness,A case of unrequited love.,heartache,sorrow,"Emotion: Sadness Explanation: As a man experiencing unrequited love, I would likely feel sadness. This emotion would stem from the disappointment and heartache of caring deeply for someone who does not reciprocate those feelings. It's a form of emotional pain that can lead to feelings of loneliness and longing."
26,1,male,7.0,guilt,I do not help out enough at home.,guilt,frustration,"Emotion: Guilt  Explanation: As a man who values being helpful, not contributing enough at home would likely induce feelings of guilt. This is because I would feel that I am not fulfilling my responsibilities or meeting the expectations I set for myself, which can lead to a sense of guilt."
27,1,male,1.0,joy,I felt very happy when I won the football pools.,joy,happy,"Emotion: Joy  Explanation: As a man who has just won the football pools, the primary emotion I would feel is joy. This is because winning the football pools is a significant achievement that brings a sense of accomplishment and satisfaction. It's a moment of triumph that naturally elicits feelings of joy and happiness."
28,1,male,3.0,anger,When someone stole my bike.,betrayal,anger,"Emotion: Anger Explanation: As a man, I would feel anger because my personal property was violated. The bike could have sentimental value or be a necessary mode of transportation, and its loss would cause inconvenience and frustration."
29,1,male,4.0,sadness,"When I saw the list of books to read for an acccouting course, I thought  Oh God how will I ever manaage it!",overwhelmed,fear,"Emotion: Overwhelmed Explanation: As a man, I would feel overwhelmed because the list of books for the accounting course seems extensive and challenging. The thought of managing to read all of them might seem daunting, causing a sense of being swamped or inundated."
30,2,female,3.0,anger,When friends try to put me down or hurt me.  ,betrayal,anger,"Emotion: Hurt  Explanation: As a man, I would feel hurt if my friends tried to put me down or hurt me. This is because friendship is based on mutual respect and understanding, and such actions would be a breach of this trust. It would make me question the sincerity and authenticity of our friendship."
31,2,female,6.0,shame,The discovery that one has only thought of oneself.,shock,anger,"Emotion: Surprise  Explanation: As a man, the realization that one has only been thinking of oneself can be surprising. This is because it can be a sudden awakening to the fact that one's actions and thoughts have been self-centered, which may not align with the values of empathy, understanding, and consideration for others that many strive to uphold."
32,2,female,2.0,fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,fear,confusion,"Emotion: Frustration  Explanation: As a man, I would likely feel frustration in this situation. This emotion would stem from the inconvenience and potential time lost due to taking the wrong exit. It could also be compounded by the unfamiliarity of being in a new city for the first time."
33,2,female,3.0,anger,When my boyfriend went away for a month long holiday without me.,loneliness,sadness,"Emotion: Disappointment Explanation: As a man, I might feel disappointed if my boyfriend went away for a month-long holiday without me. This could be due to the fact that I was looking forward to spending quality time with him, and his decision to go without me might make me feel left out or unimportant."
34,2,female,4.0,sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,stress,frustration,"Emotion: Stress Explanation: Balancing work, studies, and personal life can be challenging. The pressure of preparing for an examination while working during the summer holidays can induce stress. Additionally, the absence of a significant other, who is on a holiday, might add to the feeling of stress due to lack of emotional support during a challenging time."
35,2,female,5.0,disgust,When a dog is left whining outside a shop.,sadness,frustration,"Emotion: Concern Explanation: As a man, I would feel concern upon seeing a dog left whining outside a shop. This emotion would stem from worry about the dog's well-being, as its whining could indicate distress, fear, or discomfort."
36,1,male,3.0,anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,fear,discomfort,"Emotion: Frustration Explanation: As a man, I might feel frustrated because I was caught unprepared in the rain. This could have been avoided if I had checked the weather forecast or carried a raincoat with me. The inconvenience and discomfort of being wet might add to this feeling of frustration."
37,1,male,4.0,sadness,When I failed an exam.,disappointment,frustration,"Emotion: Disappointment  Explanation: As a man, failing an exam would likely lead to feelings of disappointment. This is because I would have expected to pass the exam and meet my own standards of success. The failure would indicate that I did not meet these standards, leading to a sense of disappointment."
38,1,male,5.0,disgust,When I failed an exam.,disappointment,frustration,"Emotion: Disappointment Explanation: As a man, I would feel disappointment after failing an exam because it indicates that my preparation and understanding of the material were not sufficient. This could also impact my future plans and goals, leading to a sense of letdown."
39,1,male,6.0,shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.",disappointment,shame,"Emotion: Guilt  Explanation: As a man who values responsibility and teamwork, I would feel guilt for not preparing my contribution as thoroughly as the other members. This emotion stems from the understanding that my lack of preparation negatively impacted the overall result, letting down the group and myself."
